1;"http://passport.mapleglobal.com/?PART=/Registration/AgeCheck"
2;"http://passport.mapleglobal.com/WZ.ASPX?PART=/Accounts/ForgotId"
3;"http://passport.mapleglobal.com/WZ.ASPX?PART=/Accounts/ForgotPassword"
4;"http://www.MapleGlobal.com"
5;"http://www.MapleGlobal.com/introduce/notice.aspx"
6;"https://nxpay.nexonclub.com/maplestory/start.asp?nxid=%s&gameid=%s&domain=%d&n1=%d&n2=%d&key1=%d&key2=%d"
7;"http://image.mapleglobal.com/common/banner_img/ending_banner.swf"
8;"http://www.MapleGlobal.com/members/verifycode.aspx"
9;"Arial"
11;"Tahoma"
13;"Arial Narrow"
14;"Eqp"
15;"Use"
16;"Setup"
17;"Etc."
18;"Pet"
19;"Beginner"
20;"Warrior"
21;"Magician"
22;"Bowman"
23;"Thief"
24;"GM"
25;"Swordman"
26;"Fighter"
27;"Crusader"
28;"Hero"
29;"Page"
30;"White Knight"
31;"Paladin"
32;"Spearman"
33;"Dragon Knight"
34;"Dark Knight"
36;"Wizard"
37;"Mage"
38;"Arch Mage"
39;"Cleric"
40;"Priest"
41;"Bishop"
42;"Archer"
43;"Hunter"
44;"Ranger"
45;"Bowmaster"
46;"Crossbow man"
47;"Sniper"
48;"Crossbow Master"
49;"Rogue"
50;"Assassin"
51;"Hermit"
52;"Night Road"
53;"Bandit"
54;"Chief Bandit"
55;"Shadower"
56;"There are too many requests on the server at this point. Please try again later."
57;"You can't do it once you're dead."
58;"Will you go back to the main menu?"
59;"Press check button first
and see if the name is available."
60;"Your SSN doesn't match.
Please try again."
61;"You can't create a character anymore."
62;"Are you sure you want to delete the character?"
63;"[Warning]
If the name contains a foul language or anything similar,
your account may be subject to restrictions."
64;"The name '%s' is taken."
65;"The name '%s' is available."
66;"The namecheck didn't work 
due to an unknown error."
67;"The character wasn't made 
due to an unknown error."
68;"Unable to connect to the game server.
Please try again later."
69;"The connection has been lost.
Please try again later."
70;"There was an error trying to connect to the game server.
Please try again later."
71;"Unable to connect to the login server.

Either you are not online or MapleStory is going through a server check. Please check the MapleStory homepage for more information."
72;"Check out the MapleStory Notice board."
73;"The connection to the server has ended.
Please try it again later."
74;"Lack of Memory. Please refer to the FAQ section of www.maplesea.com for the further detail."
75;"There's no data file on your computer.
Please download the newest version of the client."
76;"Wrong Version of the Client.Please reinstall the newest version of the client."
77;"The game data is incorrect.
Please download the newest version of the client."
78;"It's the wrong version of the client.
Please download the newest version of the client."
79;"An errorr occured while communicating with the server.
Please try again later."
80;"There was an error with another program sharing the same resources.
Close other programs before restarting the game. If the problem persists, then either restart the system or check the customer service section on our website."
81;"There was an error with another program sharing the same resources.
The problem may have occured due to a computer virus. Please use the vaccine to run through a virus check."
82;"Either the IP address is unavailable to connect or 
you have used up your available game time for the day."
83;"This process cannot be open with MapleStory. Once you end the program, the data under it will not be saved. Are you sure you want to close the program?"
84;"/whisper"
85;"/party"
86;"/buddy"
87;"/guild"
88;"/all"
89;"/find"
90;"/trade"
91;"/shop"
92;"/moveitem"
93;"/partyinfo"
94;"/makeparty"
95;"/leaveparty"
96;"/partyinvite"
97;"/partyexpel"
98;"/guildinfo"
99;"/leaveguild"
100;"/guildinvite"
101;"/guildexpel"
102;"/vomit"
103;"/oops"
104;"/invite"
105;"/pet"
106;"Please try again."
107;"Not available with an Admin account."
108;"Not available"
109;"You have whispered to '%s'"
110;"Unable to find '%s'"
111;"'%s' is at '%s'."
112;"'%s' is at the Cash Shop."
113;"'%s' is currently at '%s'."
114;"'%s' is at the event map."
115;"'%s' have currently disabled whispers."
